reportedAt	comment	categories	reporterId	reporterCountryCode	reporterCountryName	ipAddress	isp	domain	usageType	countryName	isWhitelisted	abuseConfidenceScore	totalReports
2019-11-10T15:41:54+00:00	Testing	[10, 12]	34989	PL	Poland	1.2.3.4	APNIC Pty Ltd	apnic.net	Data Center/Web Hosting/Transit	Australia	False	13	3
2019-10-31T17:21:07+00:00	Testing	[10, 12]	34989	PL	Poland	1.2.3.4	APNIC Pty Ltd	apnic.net	Data Center/Web Hosting/Transit	Australia	False	13	3
2019-10-28T13:15:06+00:00		[4, 7, 14, 15, 17, 18]	0	ES	Spain	1.2.3.4	APNIC Pty Ltd	apnic.net	Data Center/Web Hosting/Transit	Australia	False	13	3
