ip,category,created,country,isoCode,isWhitelisted,abuseConfidenceScore
1.2.3.4,[14],"Fri, 21 Sep 2018 12:52:05 +0000",Australia,AU,True,0
5.6.7.8,[],,,,False,0
8.8.8.8,[14],"Mon, 24 Sep 2018 03:35:01 +0000",United States,US,True,9
8.8.8.8,[22],"Thu, 13 Sep 2018 20:04:20 +0000",United States,US,True,9
8.8.8.8,"[3, 4]","Mon, 10 Sep 2018 14:47:07 +0000",United States,US,True,9
8.8.8.8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","Sun, 09 Sep 2018 13:39:55 +0000",United States,US,True,9
